Begin calls to openweathermap at 2018-9-25 22:20:39 (GMT).
Call city 1: Vaini, TO. Successful.
Call city 2: lajas, us. City not found.
Call city 3: tsihombe, mg. City not found.
Call city 4: Saint George, BM. Successful.
Call city 5: Kapit, MY. Successful.
Call city 6: kawana waters, au. City not found.
Call city 7: Progreso, MX. Successful.
Call city 8: Douglas, US. Successful.
Call city 9: Albany, AU. Successful.
Call city 10: Clyde River, CA. Successful.
Call city 11: Kigoma, TZ. Successful.
Call city 12: Muros, ES. Successful.
Call city 13: Bhabua, IN. Successful.
Call city 14: Kargasok, RU. Successful.
Call city 15: Khatanga, RU. Successful.
Call city 16: Cervo, ES. Successful.
Call city 17: Ushuaia, AR. Successful.
Call city 18: Bredasdorp, ZA. Successful.
Call city 19: Athabasca, CA. Successful.
Call city 20: nizhneyansk, ru. City not found.
Call city 21: Kaohsiung, TW. Successful.
Call city 22: Bluff, NZ. Successful.
Call city 23: San Patricio, MX. Successful.
Call city 24: Chingirlau, KZ. Successful.
Call city 25: Barrow, US. Successful.
Call city 26: Srivardhan, IN. Successful.
Call city 27: East London, ZA. Successful.
Call city 28: Alofi, NU. Successful.
Call city 29: Thompson, CA. Successful.
Call city 30: Aklavik, CA. Successful.
Call city 31: Rikitea, PF. Successful.
Call city 32: Kruisfontein, ZA. Successful.
Call city 33: Hobart, AU. Successful.
Call city 34: Cape Town, ZA. Successful.
Call city 35: Qaanaaq, GL. Successful.
Call city 36: Hermanus, ZA. Successful.
Call city 37: mahon, es. City not found.
Call city 38: Martapura, ID. Successful.
Call city 39: Jamestown, SH. Successful.
Call city 40: Rawson, AR. Successful.
Call city 41: airai, pw. City not found.
Call city 42: Hithadhoo, MV. Successful.
Call city 43: Port Alfred, ZA. Successful.
Call city 44: Makakilo City, US. Successful.
Call city 45: Luanda, AO. Successful.
Call city 46: Nikolskoye, RU. Successful.
Call city 47: Kahului, US. Successful.
Call city 48: Mar del Plata, AR. Successful.
Call city 49: Flin Flon, CA. Successful.
Call city 50: Foz, ES. Successful.
Call city 51: Egvekinot, RU. Successful.
Call city 52: Tasiilaq, GL. Successful.
Call city 53: taolanaro, mg. City not found.
Call city 54: Adeje, ES. Successful.
Call city 55: Kapaa, US. Successful.
Call city 56: mataura, pf. City not found.
Call city 57: Bathsheba, BB. Successful.
Call city 58: illoqqortoormiut, gl. City not found.
Call city 59: mys shmidta, ru. City not found.
Call city 60: Touros, BR. Successful.
Call city 61: Nanortalik, GL. Successful.
Call city 62: Tiksi, RU. Successful.
Call city 63: Mehamn, NO. Successful.
Call city 64: Delitzsch, DE. Successful.
Call city 65: Yining, CN. Successful.
Call city 66: Myitkyina, MM. Successful.
Call city 67: Cidreira, BR. Successful.
Call city 68: Mount Gambier, AU. Successful.
Call city 69: Punta Arenas, CL. Successful.
Call city 70: codrington, ag. City not found.
Call city 71: Kem, RU. Successful.
Call city 72: Soderhamn, SE. Successful.
Call city 73: Busselton, AU. Successful.
Call city 74: Lokosovo, RU. Successful.
Call city 75: Norman Wells, CA. Successful.
Call city 76: Roma, AU. Successful.
Call city 77: Bubaque, GW. Successful.
Call city 78: Georgetown, SH. Successful.
Call city 79: barentsburg, sj. City not found.
Call city 80: Grand Gaube, MU. Successful.
Call city 81: Orastioara de Sus, RO. Successful.
Call city 82: Vanavara, RU. Successful.
Call city 83: Suaita, CO. Successful.
