Begin calls to openweathermap at 2018-9-25 23:58:26 (GMT).
Call city 1: Hamilton, BM. Successful.
Call city 2: mys shmidta, ru. City not found.
Call city 3: mataura, pf. City not found.
Call city 4: grande-riviere, ca. City not found.
Call city 5: nizhneyansk, ru. City not found.
Call city 6: belushya guba, ru. City not found.
Call city 7: karaul, ru. City not found.
Call city 8: Bluff, NZ. Successful.
Call city 9: New Norfolk, AU. Successful.
Call city 10: bengkulu, id. City not found.
Call city 11: Chokurdakh, RU. Successful.
Call city 12: Barrow, US. Successful.
Call city 13: Te Anau, NZ. Successful.
Call city 14: Cootamundra, AU. Successful.
Call city 15: Ancud, CL. Successful.
Call city 16: Bubaque, GW. Successful.
Call city 17: Pevek, RU. Successful.
Call city 18: Mar del Plata, AR. Successful.
Call city 19: Bathsheba, BB. Successful.
Call city 20: Busselton, AU. Successful.
Call city 21: Hithadhoo, MV. Successful.
Call city 22: Columbus, US. Successful.
Call city 23: reefton, nz. City not found.
Call city 24: Garowe, SO. Successful.
Call city 25: Mount Gambier, AU. Successful.
Call city 26: Punta Arenas, CL. Successful.
Call city 27: Kargasok, RU. Successful.
Call city 28: Cape Town, ZA. Successful.
Call city 29: Vung Tau, VN. Successful.
Call city 30: Beyneu, KZ. Successful.
Call city 31: Port-Gentil, GA. Successful.
Call city 32: Igrim, RU. Successful.
Call city 33: Puerto Ayora, EC. Successful.
Call city 34: Qaanaaq, GL. Successful.
Call city 35: Jamestown, SH. Successful.
Call city 36: taolanaro, mg. City not found.
Call city 37: Belmonte, BR. Successful.
Call city 38: Moranbah, AU. Successful.
Call city 39: Avarua, CK. Successful.
Call city 40: Ribeira Grande, PT. Successful.
Call city 41: Kruisfontein, ZA. Successful.
Call city 42: Pangnirtung, CA. Successful.
Call city 43: Salalah, OM. Successful.
Call city 44: Port Alfred, ZA. Successful.
Call city 45: Boda, CF. Successful.
Call city 46: Potsdam, US. Successful.
Call city 47: Provideniya, RU. Successful.
Call city 48: Albany, AU. Successful.
Call city 49: Talnakh, RU. Successful.
Call city 50: illoqqortoormiut, gl. City not found.
Call city 51: Cam Ranh, VN. Successful.
Call city 52: Barra do Garcas, BR. Successful.
Call city 53: Comodoro Rivadavia, AR. Successful.
Call city 54: ruatoria, nz. City not found.
Call city 55: Saskylakh, RU. Successful.
Call city 56: Lorengau, PG. Successful.
Call city 57: East London, ZA. Successful.
Call city 58: Arraial do Cabo, BR. Successful.
Call city 59: faya, td. City not found.
Call city 60: Torbay, CA. Successful.
Call city 61: Mandalgovi, MN. Successful.
Call city 62: Williston, US. Successful.
Call city 63: Shenjiamen, CN. Successful.
Call city 64: Gloversville, US. Successful.
Call city 65: unye, tr. City not found.
