Begin calls to openweathermap at 2018-9-26 0:7:36 (GMT).
Call city 1: Busselton, AU. Successful.
Call city 2: Iskateley, RU. Successful.
Call city 3: Deer Lake, CA. Successful.
Call city 4: Fecamp, FR. Successful.
Call city 5: Barrow, US. Successful.
Call city 6: Mayo, CA. Successful.
Call city 7: Alofi, NU. Successful.
Call city 8: samusu, ws. City not found.
Call city 9: Ushuaia, AR. Successful.
Call city 10: taolanaro, mg. City not found.
Call city 11: Mizdah, LY. Successful.
Call city 12: Tuktoyaktuk, CA. Successful.
Call city 13: Seddon, NZ. Successful.
Call city 14: illoqqortoormiut, gl. City not found.
Call city 15: Marrakesh, MA. Successful.
Call city 16: palabuhanratu, id. City not found.
Call city 17: Srandakan, ID. Successful.
Call city 18: Hobart, AU. Successful.
Call city 19: Qaanaaq, GL. Successful.
Call city 20: Paamiut, GL. Successful.
Call city 21: Belmonte, BR. Successful.
Call city 22: Camacupa, AO. Successful.
Call city 23: Clyde River, CA. Successful.
Call city 24: Butaritari, KI. Successful.
Call city 25: Port Lincoln, AU. Successful.
Call city 26: Los Llanos de Aridane, ES. Successful.
Call city 27: Tuatapere, NZ. Successful.
Call city 28: Chokurdakh, RU. Successful.
Call city 29: tsihombe, mg. City not found.
Call city 30: Rikitea, PF. Successful.
Call city 31: Puerto Ayora, EC. Successful.
Call city 32: makung, tw. City not found.
Call city 33: Castro, CL. Successful.
Call city 34: Port-Gentil, GA. Successful.
Call city 35: Vaini, TO. Successful.
Call city 36: Mount Gambier, AU. Successful.
Call city 37: Nantucket, US. Successful.
Call city 38: Potamia, GR. Successful.
Call city 39: Smithers, CA. Successful.
Call city 40: Pangnirtung, CA. Successful.
Call city 41: Mogadishu, SO. Successful.
Call city 42: Cap-aux-Meules, CA. Successful.
Call city 43: Arraial do Cabo, BR. Successful.
Call city 44: mocambique, mz. City not found.
Call city 45: Avarua, CK. Successful.
Call city 46: Cidreira, BR. Successful.
Call city 47: New Norfolk, AU. Successful.
Call city 48: Yellowknife, CA. Successful.
Call city 49: Tubuala, PA. Successful.
Call city 50: Longyearbyen, SJ. Successful.
Call city 51: Marsa Matruh, EG. Successful.
Call city 52: Saint-Philippe, RE. Successful.
Call city 53: Petropavlovsk-Kamchatskiy, RU. Successful.
Call city 54: mataura, pf. City not found.
Call city 55: abu samrah, qa. City not found.
Call city 56: Punta Arenas, CL. Successful.
Call city 57: Albany, AU. Successful.
Call city 58: Nioki, CD. Successful.
Call city 59: Mwense, ZM. Successful.
Call city 60: Pangody, RU. Successful.
Call city 61: Dikson, RU. Successful.
Call city 62: Hermanus, ZA. Successful.
Call city 63: Kalmunai, LK. Successful.
Call city 64: Atuona, PF. Successful.
Call city 65: Aranda de Duero, ES. Successful.
Call city 66: Sitka, US. Successful.
Call city 67: Georgetown, SH. Successful.
Call city 68: Uglezavodsk, RU. Successful.
Call city 69: Cape Town, ZA. Successful.
Call city 70: Staryy Nadym, RU. Successful.
Call city 71: Mahebourg, MU. Successful.
Call city 72: Lagoa, PT. Successful.
Call city 73: Praia da Vitoria, PT. Successful.
Call city 74: Shenjiamen, CN. Successful.
Call city 75: Itarema, BR. Successful.
Call city 76: Bluff, NZ. Successful.
Call city 77: Faanui, PF. Successful.
Call city 78: Saint-Pierre, RE. Successful.
Call city 79: belushya guba, ru. City not found.
Call city 80: Kangaatsiaq, GL. Successful.
Call city 81: amderma, ru. City not found.
Call city 82: Torbay, CA. Successful.
Call city 83: Motihari, IN. Successful.
Call city 84: Flinders, AU. Successful.
Call city 85: Alice Springs, AU. Successful.
Call city 86: Dalianwan, CN. Successful.
Call city 87: Seoul, KR. Successful.
Call city 88: Damaturu, NG. Successful.
Call city 89: Liaozhong, CN. Successful.
Call city 90: Kruisfontein, ZA. Successful.
Call city 91: Bredasdorp, ZA. Successful.
Call city 92: Emerald, AU. Successful.
Call city 93: wulanhaote, cn. City not found.
