Begin calls to openweathermap at 2018-9-26 12:10:22 (GMT).
Call city 1: amderma, ru. City not found.
Call city 2: Tuatapere, NZ. Successful.
Call city 3: mataura, pf. City not found.
Call city 4: Vaini, TO. Successful.
Call city 5: Port Alfred, ZA. Successful.
Call city 6: Hermanus, ZA. Successful.
Call city 7: Saint-Philippe, RE. Successful.
Call city 8: jiroft, ir. City not found.
Call city 9: Dunedin, NZ. Successful.
Call city 10: New Norfolk, AU. Successful.
Call city 11: Haines Junction, CA. Successful.
Call city 12: The Valley, AI. Successful.
Call city 13: San Patricio, MX. Successful.
Call city 14: Saint-Augustin, CA. Successful.
Call city 15: Jamestown, SH. Successful.
Call city 16: Santa Lucia, ES. Successful.
Call city 17: Albany, AU. Successful.
Call city 18: Avarua, CK. Successful.
Call city 19: Ilulissat, GL. Successful.
Call city 20: Bazarnyy Karabulak, RU. Successful.
Call city 21: Busselton, AU. Successful.
Call city 22: Qaanaaq, GL. Successful.
Call city 23: Pervomayskoye, RU. Successful.
Call city 24: Ancud, CL. Successful.
Call city 25: Priargunsk, RU. Successful.
Call city 26: Upernavik, GL. Successful.
Call city 27: Butaritari, KI. Successful.
Call city 28: Hilo, US. Successful.
Call city 29: Solnechnyy, RU. Successful.
Call city 30: Yellowknife, CA. Successful.
Call city 31: Beringovskiy, RU. Successful.
Call city 32: Tilichiki, RU. Successful.
Call city 33: Punta Arenas, CL. Successful.
Call city 34: Meulaboh, ID. Successful.
Call city 35: bengkulu, id. City not found.
Call city 36: Hobart, AU. Successful.
Call city 37: Port Blair, IN. Successful.
Call city 38: Atuona, PF. Successful.
Call city 39: Kontagora, NG. Successful.
Call city 40: Rikitea, PF. Successful.
Call city 41: taburbah, tn. City not found.
Call city 42: Taksimo, RU. Successful.
Call city 43: belushya guba, ru. City not found.
Call city 44: Acapulco, MX. Successful.
Call city 45: Hithadhoo, MV. Successful.
Call city 46: Sitka, US. Successful.
Call city 47: Aksha, RU. Successful.
Call city 48: Saint George, BM. Successful.
Call city 49: Arraial do Cabo, BR. Successful.
Call city 50: Biltine, TD. Successful.
Call city 51: Kavieng, PG. Successful.
Call city 52: Vila Franca do Campo, PT. Successful.
Call city 53: Puerto Ayora, EC. Successful.
Call city 54: Souillac, MU. Successful.
Call city 55: Kodiak, US. Successful.
Call city 56: Clyde River, CA. Successful.
Call city 57: Castro, CL. Successful.
Call city 58: Inongo, CD. Successful.
Call city 59: Cap Malheureux, MU. Successful.
Call city 60: Chuy, UY. Successful.
Call city 61: samusu, ws. City not found.
Call city 62: Georgetown, SH. Successful.
Call city 63: Kanniyakumari, IN. Successful.
Call city 64: Khatanga, RU. Successful.
Call city 65: Ushuaia, AR. Successful.
Call city 66: Lebu, CL. Successful.
Call city 67: Natal, BR. Successful.
Call city 68: sentyabrskiy, ru. City not found.
Call city 69: Saint-Pierre, PM. Successful.
Call city 70: Port Augusta, AU. Successful.
Call city 71: Tuktoyaktuk, CA. Successful.
Call city 72: Provideniya, RU. Successful.
Call city 73: mys shmidta, ru. City not found.
Call city 74: Ribeira Grande, PT. Successful.
Call city 75: Multai, IN. Successful.
Call city 76: malwan, in. City not found.
Call city 77: Konevo, RU. Successful.
Call city 78: Cavalcante, BR. Successful.
Call city 79: attawapiskat, ca. City not found.
Call city 80: Faanui, PF. Successful.
Call city 81: Gornopravdinsk, RU. Successful.
Call city 82: Isangel, VU. Successful.
Call city 83: Bonham, US. Successful.
Call city 84: Ocara, BR. Successful.
Call city 85: Kapaa, US. Successful.
Call city 86: Victoria, SC. Successful.
Call city 87: Skibbereen, IE. Successful.
Call city 88: Mahebourg, MU. Successful.
Call city 89: Puyang, CN. Successful.
Call city 90: Maua, KE. Successful.
Call city 91: Bluff, NZ. Successful.
Call city 92: Ahuimanu, US. Successful.
Call city 93: Senneterre, CA. Successful.
Call city 94: rincon, an. City not found.
Call city 95: Katsuura, JP. Successful.
Call city 96: Obo, CF. Successful.
Call city 97: Ormara, PK. Successful.
Call city 98: Peterhead, GB. Successful.
Call city 99: barentsburg, sj. City not found.
Call city 100: Tasiilaq, GL. Successful.
Call city 101: palabuhanratu, id. City not found.
Call city 102: Schleswig, DE. Successful.
Call city 103: Portland, AU. Successful.
Call city 104: yanan, cn. City not found.
Call city 105: tumannyy, ru. City not found.
Call city 106: Port-Gentil, GA. Successful.
Call city 107: Norman Wells, CA. Successful.
Call city 108: Nalut, LY. Successful.
Call city 109: Saskylakh, RU. Successful.
Call city 110: marv dasht, ir. City not found.
Call city 111: Griffith, AU. Successful.
Call city 112: Sur, OM. Successful.
Call city 113: East London, ZA. Successful.
Call city 114: Skjervoy, NO. Successful.
Call city 115: Bredasdorp, ZA. Successful.
Call city 116: Mar del Plata, AR. Successful.
Call city 117: Iskateley, RU. Successful.
Call city 118: Terra Santa, BR. Successful.
Call city 119: Ixtapa, MX. Successful.
Call city 120: Saldanha, ZA. Successful.
Call city 121: Bambous Virieux, MU. Successful.
Call city 122: Severo-Kurilsk, RU. Successful.
Call city 123: Ilhabela, BR. Successful.
Call city 124: Leeton, AU. Successful.
Call city 125: Tazovskiy, RU. Successful.
Call city 126: Rawson, AR. Successful.
Call city 127: Vardo, NO. Successful.
Call city 128: lolua, tv. City not found.
Call city 129: Cape Town, ZA. Successful.
Call city 130: Guanare, VE. Successful.
Call city 131: Khasan, RU. Successful.
Call city 132: Narsaq, GL. Successful.
Call city 133: Nome, US. Successful.
Call city 134: Negombo, LK. Successful.
Call city 135: Kargasok, RU. Successful.
Call city 136: Shirokiy, RU. Successful.
Call city 137: Ternate, ID. Successful.
Call city 138: Umm Kaddadah, SD. Successful.
Call city 139: Nikolskoye, RU. Successful.
Call city 140: Gambela, ET. Successful.
Call city 141: Shimoda, JP. Successful.
Call city 142: nguiu, au. City not found.
Call city 143: Barentu, ER. Successful.
Call city 144: illoqqortoormiut, gl. City not found.
Call city 145: makung, tw. City not found.
Call city 146: Snyder, US. Successful.
Call city 147: Adrar, DZ. Successful.
Call city 148: Tirano, IT. Successful.
Call city 149: Vestmanna, FO. Successful.
Call city 150: Podosinovets, RU. Successful.
Call city 151: Dikson, RU. Successful.
Call city 152: Sao Sebastiao, BR. Successful.
Call city 153: Muroto, JP. Successful.
Call city 154: Kaitangata, NZ. Successful.
Call city 155: tsihombe, mg. City not found.
Call city 156: Ponta do Sol, CV. Successful.
Call city 157: vaitupu, wf. City not found.
Call city 158: Pangody, RU. Successful.
Call city 159: Kununurra, AU. Successful.
Call city 160: laguna, br. City not found.
Call city 161: taolanaro, mg. City not found.
Call city 162: Zeya, RU. Successful.
Call city 163: Mae Hong Son, TH. Successful.
Call city 164: Pevek, RU. Successful.
Call city 165: Torbay, CA. Successful.
Call city 166: Divnomorskoye, RU. Successful.
Call city 167: Sechura, PE. Successful.
Call city 168: Henties Bay, NA. Successful.
Call city 169: Gamba, GA. Successful.
Call city 170: Kahului, US. Successful.
Call city 171: Chokurdakh, RU. Successful.
Call city 172: bargal, so. City not found.
Call city 173: Tautira, PF. Successful.
Call city 174: Siniscola, IT. Successful.
Call city 175: Sobolevo, RU. Successful.
Call city 176: Port Elizabeth, ZA. Successful.
Call city 177: Zanjan, IR. Successful.
Call city 178: Oranjemund, NA. Successful.
Call city 179: Korla, CN. Successful.
Call city 180: Ejura, GH. Successful.
Call city 181: Landeck, AT. Successful.
Call city 182: severnyy, ru. City not found.
Call city 183: Abnub, EG. Successful.
Call city 184: Bandarbeyla, SO. Successful.
Call city 185: Piacabucu, BR. Successful.
Call city 186: Cascais, PT. Successful.
Call city 187: Weihe, CN. Successful.
Call city 188: Vostochnyy, RU. Successful.
Call city 189: Vandoeuvre-les-Nancy, FR. Successful.
Call city 190: Bogashevo, RU. Successful.
Call city 191: Manaure, CO. Successful.
Call city 192: Harnosand, SE. Successful.
Call city 193: Taltal, CL. Successful.
Call city 194: gat, ly. City not found.
Call city 195: Tkibuli, GE. Successful.
Call city 196: Cherskiy, RU. Successful.
Call city 197: Kamaishi, JP. Successful.
Call city 198: Bintulu, MY. Successful.
Call city 199: Hastings, US. Successful.
Call city 200: Abengourou, CI. Successful.
Call city 201: Laredo, US. Successful.
Call city 202: Fairbanks, US. Successful.
Call city 203: Nemuro, JP. Successful.
Call city 204: umzimvubu, za. City not found.
Call city 205: Barrow, US. Successful.
Call city 206: Salinas, EC. Successful.
Call city 207: Jardim de Piranhas, BR. Successful.
Call city 208: Oulainen, FI. Successful.
Call city 209: Lobez, PL. Successful.
Call city 210: Lagoa, PT. Successful.
Call city 211: Salalah, OM. Successful.
Call city 212: tawzar, tn. City not found.
Call city 213: kamenskoye, ru. City not found.
Call city 214: Vetluzhskiy, RU. Successful.
Call city 215: Samarai, PG. Successful.
Call city 216: Pinsk, BY. Successful.
Call city 217: Sao Felix do Xingu, BR. Successful.
Call city 218: Mount Gambier, AU. Successful.
Call city 219: Constitucion, MX. Successful.
Call city 220: Carnarvon, AU. Successful.
Call city 221: saleaula, ws. City not found.
Call city 222: Iberia, PE. Successful.
Call city 223: Storforshei, NO. Successful.
Call city 224: Te Anau, NZ. Successful.
Call city 225: Port Lincoln, AU. Successful.
Call city 226: Severomuysk, RU. Successful.
Call city 227: Tevriz, RU. Successful.
Call city 228: Katobu, ID. Successful.
Call city 229: faya, td. City not found.
Call city 230: Lavrentiya, RU. Successful.
Call city 231: Pisco, PE. Successful.
Call city 232: Kosh-Agach, RU. Successful.
Call city 233: Komsomolskoye, RU. Successful.
Call city 234: Tura, RU. Successful.
Call city 235: Panjab, AF. Successful.
Call city 236: marathopolis, gr. City not found.
Call city 237: Opuwo, NA. Successful.
Call city 238: Berlevag, NO. Successful.
Call city 239: Menomonie, US. Successful.
Call city 240: Hamilton, BM. Successful.
Call city 241: Iqaluit, CA. Successful.
Call city 242: Tiznit, MA. Successful.
Call city 243: Longyearbyen, SJ. Successful.
Call city 244: Sao Joao do Paraiso, BR. Successful.
Call city 245: Bethel, US. Successful.
Call city 246: tatawin, tn. City not found.
Call city 247: Sola, VU. Successful.
Call city 248: nizhneyansk, ru. City not found.
Call city 249: Geraldton, CA. Successful.
Call city 250: bur gabo, so. City not found.
Call city 251: Emmett, US. Successful.
Call city 252: Kuusamo, FI. Successful.
Call city 253: Yendi, GH. Successful.
Call city 254: Baghdad, IQ. Successful.
Call city 255: Anadyr, RU. Successful.
Call city 256: Kailua, US. Successful.
Call city 257: Krabi, TH. Successful.
Call city 258: grand river south east, mu. City not found.
Call city 259: Mantua, CU. Successful.
Call city 260: Ippy, CF. Successful.
Call city 261: Luderitz, NA. Successful.
Call city 262: Taitung, TW. Successful.
Call city 263: Govindgarh, IN. Successful.
Call city 264: Srednekolymsk, RU. Successful.
Call city 265: Cockburn Town, BS. Successful.
Call city 266: Mount Isa, AU. Successful.
Call city 267: Esperance, AU. Successful.
Call city 268: San Jose, GT. Successful.
Call city 269: Dubbo, AU. Successful.
Call city 270: Coihaique, CL. Successful.
Call city 271: Kirakira, SB. Successful.
Call city 272: Nuuk, GL. Successful.
Call city 273: Flinders, AU. Successful.
Call city 274: Wanning, CN. Successful.
Call city 275: Blumberg, DE. Successful.
Call city 276: Dong Hoi, VN. Successful.
Call city 277: Lipari, IT. Successful.
Call city 278: Braganca, PT. Successful.
Call city 279: Lohja, FI. Successful.
Call city 280: Chokwe, MZ. Successful.
Call city 281: Sauce, PE. Successful.
Call city 282: Sungairaya, ID. Successful.
Call city 283: Klaksvik, FO. Successful.
Call city 284: Santa Vitoria do Palmar, BR. Successful.
Call city 285: Koumac, NC. Successful.
Call city 286: codrington, ag. City not found.
Call city 287: Puerto Leguizamo, CO. Successful.
Call city 288: Labuhan, ID. Successful.
