Begin calls to openweathermap at 2018-9-26 12:25:40 (GMT).
Call city 1: Castro, CL. Successful.
Call city 2: Kapaa, US. Successful.
Call city 3: Odienne, CI. Successful.
Call city 4: kalabugao, ph. City not found.
Call city 5: Rikitea, PF. Successful.
Call city 6: mataura, pf. City not found.
Call city 7: Chumikan, RU. Successful.
Call city 8: illoqqortoormiut, gl. City not found.
Call city 9: Nanortalik, GL. Successful.
Call city 10: Ushuaia, AR. Successful.
Call city 11: Luganville, VU. Successful.
Call city 12: Moerai, PF. Successful.
Call city 13: Souillac, MU. Successful.
Call city 14: Huejuquilla el Alto, MX. Successful.
Call city 15: Punta Arenas, CL. Successful.
Call city 16: Hilo, US. Successful.
Call city 17: Luanda, AO. Successful.
Call city 18: Fort Nelson, CA. Successful.
Call city 19: Baijiantan, CN. Successful.
Call city 20: Butaritari, KI. Successful.
Call city 21: San Cristobal, EC. Successful.
Call city 22: Narsaq, GL. Successful.
Call city 23: Sivas, TR. Successful.
Call city 24: airai, pw. City not found.
Call city 25: kerki, tm. City not found.
Call city 26: Chokurdakh, RU. Successful.
Call city 27: laguna, br. City not found.
Call city 28: Arraial do Cabo, BR. Successful.
Call city 29: Bluff, NZ. Successful.
Call city 30: Peniche, PT. Successful.
Call city 31: saint-pacome, ca. City not found.
Call city 32: Mar del Plata, AR. Successful.
Call city 33: New Norfolk, AU. Successful.
Call city 34: Vaini, TO. Successful.
Call city 35: Burayevo, RU. Successful.
Call city 36: Zabid, YE. Successful.
Call city 37: Wadern, DE. Successful.
Call city 38: Kavieng, PG. Successful.
Call city 39: Bambous Virieux, MU. Successful.
Call city 40: Saint-Philippe, RE. Successful.
Call city 41: Sorland, NO. Successful.
Call city 42: Puno, PE. Successful.
Call city 43: umzimvubu, za. City not found.
Call city 44: Clarence Town, BS. Successful.
Call city 45: Esperance, AU. Successful.
Call city 46: Slave Lake, CA. Successful.
Call city 47: Pandan, PH. Successful.
Call city 48: ribeira brava, cv. City not found.
Call city 49: Albany, AU. Successful.
Call city 50: Urucara, BR. Successful.
Call city 51: Bethel, US. Successful.
Call city 52: Lagoa, PT. Successful.
Call city 53: Portland, AU. Successful.
Call city 54: Port Alfred, ZA. Successful.
Call city 55: Bandarbeyla, SO. Successful.
Call city 56: Yellowknife, CA. Successful.
Call city 57: Egvekinot, RU. Successful.
Call city 58: Galle, LK. Successful.
Call city 59: Aklavik, CA. Successful.
Call city 60: Iqaluit, CA. Successful.
Call city 61: Alegrete, BR. Successful.
Call city 62: Atuona, PF. Successful.
Call city 63: Vostok, RU. Successful.
Call city 64: Jumla, NP. Successful.
Call city 65: Bredasdorp, ZA. Successful.
Call city 66: Kasongo-Lunda, CD. Successful.
Call city 67: Kyzyl-Suu, KG. Successful.
Call city 68: tumannyy, ru. City not found.
Call city 69: Sao Filipe, CV. Successful.
Call city 70: Kem, RU. Successful.
Call city 71: Viedma, AR. Successful.
Call city 72: Barrow, US. Successful.
Call city 73: Nikolskoye, RU. Successful.
Call city 74: Kaura Namoda, NG. Successful.
Call city 75: olafsvik, is. City not found.
Call city 76: Jasidih, IN. Successful.
Call city 77: Cabo San Lucas, MX. Successful.
Call city 78: College, US. Successful.
Call city 79: Busselton, AU. Successful.
Call city 80: Chimbote, PE. Successful.
Call city 81: Mount Isa, AU. Successful.
Call city 82: Tasiilaq, GL. Successful.
Call city 83: Margate, ZA. Successful.
Call city 84: Kruisfontein, ZA. Successful.
Call city 85: Hovd, MN. Successful.
Call city 86: Ossora, RU. Successful.
Call city 87: Constitucion, CL. Successful.
Call city 88: barentsburg, sj. City not found.
Call city 89: San Jeronimo, MX. Successful.
Call city 90: Cape Town, ZA. Successful.
Call city 91: Touros, BR. Successful.
Call city 92: Ilulissat, GL. Successful.
Call city 93: Lhokseumawe, ID. Successful.
Call city 94: Carnarvon, AU. Successful.
Call city 95: litoral del san juan, co. City not found.
Call city 96: Hokitika, NZ. Successful.
Call city 97: Sitka, US. Successful.
Call city 98: Kaitangata, NZ. Successful.
Call city 99: Avarua, CK. Successful.
Call city 100: Acari, PE. Successful.
Call city 101: Port Antonio, JM. Successful.
Call city 102: chagda, ru. City not found.
Call city 103: Chuy, UY. Successful.
Call city 104: Bulgan, MN. Successful.
Call city 105: Lavrentiya, RU. Successful.
Call city 106: Vestmanna, FO. Successful.
Call city 107: mirina, gr. City not found.
Call city 108: Moose Factory, CA. Successful.
Call city 109: Victoria, SC. Successful.
Call city 110: Hualmay, PE. Successful.
Call city 111: Hervey Bay, AU. Successful.
Call city 112: Masumbwe, TZ. Successful.
Call city 113: Pauini, BR. Successful.
Call city 114: Paita, PE. Successful.
Call city 115: Hobart, AU. Successful.
Call city 116: Marrakesh, MA. Successful.
Call city 117: Hermanus, ZA. Successful.
Call city 118: Caravelas, BR. Successful.
Call city 119: Tuktoyaktuk, CA. Successful.
Call city 120: Grand Gaube, MU. Successful.
Call city 121: belushya guba, ru. City not found.
