,City,Country Code,Latitude,Temperature (F),Humidity (%),Cloud Cover (%),Wind Speed (MPH),Date (Unix)
0,Castro,CL,-42.48,39.39,99,88,3.51,1537964739
1,Kapaa,US,22.08,78.08,100,75,5.82,1537963920
2,Odienne,CI,9.51,76.29,100,92,6.98,1537964740
3,Rikitea,PF,-23.12,72.15,100,100,22.53,1537964740
4,Chumikan,RU,54.72,53.61,64,0,13.13,1537964741
5,Nanortalik,GL,60.14,37.59,95,32,19.73,1537964741
6,Ushuaia,AR,-54.81,32.0,100,0,5.82,1537959600
7,Luganville,VU,-15.51,73.86,100,92,10.67,1537964742
8,Moerai,PF,-22.43,71.7,100,92,10.33,1537964742
9,Souillac,MU,-20.52,77.0,65,75,14.99,1537963200
10,Huejuquilla el Alto,MX,22.63,52.26,92,8,2.06,1537964743
11,Punta Arenas,CL,-53.16,33.8,86,0,3.36,1537959600
12,Hilo,US,19.71,78.08,87,20,4.7,1537962780
13,Luanda,AO,-8.83,80.6,69,75,6.93,1537959600
14,Fort Nelson,CA,58.81,53.6,46,75,13.87,1537963200
15,Baijiantan,CN,45.63,58.29,63,0,3.4,1537964744
16,Butaritari,KI,3.07,84.12,100,0,5.86,1537964745
17,San Cristobal,EC,-1.02,57.39,97,44,2.17,1537964745
18,Narsaq,GL,60.91,30.2,54,20,4.7,1537959000
19,Sivas,TR,39.75,57.2,54,20,19.46,1537962600
20,Chokurdakh,RU,70.62,31.02,95,80,6.42,1537964746
21,Arraial do Cabo,BR,-22.97,77.86,74,20,13.87,1537959600
22,Bluff,NZ,-46.6,48.75,100,76,22.3,1537964691
23,Peniche,PT,39.36,85.55,37,0,10.29,1537963200
24,Mar del Plata,AR,-46.43,33.09,100,0,2.62,1537964566
25,New Norfolk,AU,-42.78,44.6,87,0,2.24,1537963200
26,Vaini,TO,-21.2,71.6,78,75,6.93,1537963200
27,Burayevo,RU,55.84,55.41,99,92,8.43,1537964749
28,Zabid,YE,14.2,78.18,14,0,7.99,1537964749
29,Wadern,DE,49.54,59.29,38,0,2.24,1537962960
30,Kavieng,PG,-2.57,85.65,98,80,8.21,1537964749
31,Bambous Virieux,MU,-20.34,77.0,65,75,14.99,1537963200
32,Saint-Philippe,RE,-21.36,77.0,61,0,16.11,1537963200
33,Sorland,NO,67.67,49.01,71,40,18.34,1537962600
34,Puno,PE,-15.84,39.2,35,40,2.24,1537959600
35,Clarence Town,BS,23.1,85.65,93,68,13.24,1537964751
36,Esperance,AU,-33.86,54.42,86,0,6.76,1537964752
37,Slave Lake,CA,55.28,51.8,62,90,11.41,1537963200
38,Pandan,PH,11.72,83.85,97,92,21.3,1537964752
39,Albany,AU,-35.02,52.98,84,0,6.64,1537964753
40,Urucara,BR,-2.54,79.98,83,56,1.72,1537964753
41,Bethel,US,60.79,44.96,96,90,4.7,1537962780
42,Lagoa,PT,37.14,84.2,54,0,21.92,1537963200
43,Portland,AU,-33.35,41.91,98,68,2.73,1537964755
44,Port Alfred,ZA,-33.59,68.82,73,36,12.8,1537964755
45,Bandarbeyla,SO,9.49,78.81,95,0,20.85,1537964755
46,Yellowknife,CA,62.45,33.8,100,90,10.29,1537963200
47,Egvekinot,RU,66.32,30.3,93,68,2.28,1537964756
48,Galle,LK,6.04,83.13,82,44,9.78,1537964756
49,Aklavik,CA,68.22,17.6,92,20,8.05,1537963200
50,Iqaluit,CA,63.75,32.0,100,75,5.82,1537963200
51,Alegrete,BR,-29.79,66.93,100,88,4.41,1537964756
52,Atuona,PF,-9.8,78.81,100,80,11.23,1537964757
53,Vostok,RU,46.45,35.79,87,0,2.39,1537964757
54,Jumla,NP,29.28,42.09,99,24,1.95,1537964758
55,Bredasdorp,ZA,-34.53,77.0,31,0,8.05,1537963200
56,Kasongo-Lunda,CD,-6.48,89.07,50,0,2.62,1537964758
57,Kyzyl-Suu,KG,42.34,59.73,86,0,5.97,1537964761
58,Sao Filipe,CV,14.9,78.99,95,56,10.45,1537964762
59,Kem,RU,64.96,46.5,100,92,13.8,1537964762
60,Viedma,AR,-40.81,48.48,78,44,11.9,1537964763
61,Barrow,US,39.51,50.99,94,1,5.82,1537962900
62,Nikolskoye,RU,59.7,48.2,87,90,17.9,1537961400
63,Kaura Namoda,NG,12.59,89.88,79,8,4.63,1537964764
64,Jasidih,IN,24.51,87.27,64,20,3.74,1537964764
65,Cabo San Lucas,MX,22.89,74.16,88,5,4.7,1537964040
66,College,US,64.86,43.5,88,90,5.82,1537962780
67,Busselton,AU,-33.64,58.2,100,0,14.58,1537964764
68,Chimbote,PE,-9.08,59.19,93,48,3.29,1537964765
69,Mount Isa,AU,-20.73,71.6,30,75,7.31,1537963200
70,Tasiilaq,GL,65.61,37.4,64,75,9.17,1537962600
71,Margate,ZA,-30.86,68.64,93,92,9.66,1537964765
72,Kruisfontein,ZA,-34.0,64.86,73,0,14.25,1537964766
73,Hovd,MN,48.01,44.97,86,8,2.73,1537964766
74,Ossora,RU,59.24,42.45,100,20,17.94,1537964766
75,Constitucion,CL,-35.33,53.61,93,56,3.96,1537964766
76,San Jeronimo,MX,29.37,75.2,78,5,3.36,1537962180
77,Cape Town,ZA,-33.93,66.2,63,40,24.16,1537963200
78,Touros,BR,-5.2,80.25,80,0,18.5,1537964768
79,Ilulissat,GL,69.22,19.71,68,75,10.29,1537963560
80,Lhokseumawe,ID,5.18,82.41,100,44,3.18,1537964768
81,Carnarvon,AU,-24.87,68.46,87,0,21.85,1537964768
82,Hokitika,NZ,-42.72,48.48,100,68,0.38,1537964769
83,Sitka,US,37.17,49.29,76,92,1.72,1537964769
